subjectID,trialID,T,P,W,Label,v,a,RT,response
1,1,100,8,1100,stranger,1.457933046711708,4.293518339647062,0.9010000000000005,1
1,2,100,8,1100,stranger,2.192985164950902,4.293518339647062,0.8050000000000004,1
1,3,100,8,1100,stranger,2.717217481432613,4.293518339647062,0.9470000000000005,1
1,4,100,8,1100,stranger,0.8511933213413571,4.293518339647062,0.8110000000000004,1
1,5,100,8,1100,stranger,0.763545525065499,4.293518339647062,1.1780000000000008,1
1,6,100,8,1100,stranger,0.0991952674941341,4.293518339647062,1.0210000000000006,1
1,7,100,8,1100,stranger,-1.0910684310532204,4.293518339647062,0.9270000000000005,2
1,8,100,8,1100,stranger,1.1596099069921193,4.293518339647062,1.1000000000000008,1
1,9,100,8,1100,stranger,-1.1527956357720268,4.293518339647062,0.9550000000000005,2
1,10,100,8,1100,stranger,3.788988411951028,4.293518339647062,0.42100000000000015,1
1,11,100,8,1100,stranger,-0.19269144654885206,4.293518339647062,1.0970000000000006,2
1,12,100,8,1100,stranger,0.37602794681105944,4.293518339647062,1.1470000000000007,1
1,13,100,8,1100,stranger,1.9620737119346743,4.293518339647062,0.7280000000000004,1
1,14,100,8,1100,stranger,2.6647248483203496,4.293518339647062,1.0320000000000007,1
1,15,100,8,1100,stranger,0.33639423916943534,4.293518339647062,0.9910000000000005,1
1,16,100,8,1100,stranger,-2.0889844425089685,4.293518339647062,0.7350000000000003,2
1,17,100,8,1100,stranger,1.9804613790372305,4.293518339647062,0.7970000000000004,1
1,18,100,8,1100,stranger,2.3945708400000667,4.293518339647062,0.7480000000000004,1
1,19,100,8,1100,stranger,1.0520618425031518,4.293518339647062,0.9410000000000005,1
1,20,100,8,1100,stranger,1.672606269485338,4.293518339647062,1.1020000000000008,1
1,21,100,8,1100,stranger,0.6256792088552101,4.293518339647062,1.0420000000000007,1
1,22,100,8,1100,stranger,0.0410024402538719,4.293518339647062,1.1090000000000007,1
1,23,100,8,1100,stranger,1.3311869417558506,4.293518339647062,1.1860000000000008,1
1,24,100,8,1100,stranger,2.957145199215681,4.293518339647062,1.0370000000000006,1
1,25,100,8,1100,stranger,-0.3504508455387704,4.293518339647062,0.9270000000000005,2
1,26,100,8,1100,stranger,1.6567221567511115,4.293518339647062,1.1030000000000006,1
1,27,100,8,1100,stranger,-1.3178408576478715,4.293518339647062,0.8160000000000005,2
1,28,100,8,1100,stranger,0.5312134530908533,4.293518339647062,0.9330000000000005,1
1,29,100,8,1100,stranger,1.5454218375554332,4.293518339647062,0.9220000000000006,1
