subjectID,trialID,T,P,W,Label,v,a,RT,response
1,1,30,0,300,stranger,-0.5742358255018398,0.8913398511819368,0.25400000000000006,1
1,2,30,0,300,stranger,-1.1570283438164006,0.8913398511819368,0.26400000000000007,2
1,3,30,0,300,stranger,0.3546804389067225,0.8913398511819368,0.3070000000000001,1
1,4,30,0,300,stranger,-0.21405597490270611,0.8913398511819368,0.23900000000000005,1
1,5,30,0,300,stranger,0.9713158321710518,0.8913398511819368,0.2810000000000001,2
1,6,30,0,300,stranger,-0.13925822000831395,0.8913398511819368,0.3130000000000001,1
1,7,30,0,300,stranger,0.30927749817192574,0.8913398511819368,0.24200000000000005,1
1,8,30,0,300,stranger,0.9217071652539527,0.8913398511819368,0.23700000000000004,2
1,9,30,0,300,stranger,2.039707075928149,0.8913398511819368,0.23800000000000004,1
1,10,30,0,300,stranger,-0.21931668919575042,0.8913398511819368,0.2790000000000001,2
1,11,30,0,300,stranger,-0.19741882472564037,0.8913398511819368,0.26500000000000007,1
1,12,30,0,300,stranger,-0.7559168027768782,0.8913398511819368,0.2910000000000001,1
1,13,30,0,300,stranger,0.7793528341461036,0.8913398511819368,0.2870000000000001,1
1,14,30,0,300,stranger,1.3482221870485982,0.8913398511819368,0.2990000000000001,1
1,15,30,0,300,stranger,2.3661383309507356,0.8913398511819368,0.25000000000000006,1
1,16,30,0,300,stranger,2.5176103321868117,0.8913398511819368,0.26400000000000007,1
1,17,30,0,300,stranger,-0.506448438349124,0.8913398511819368,0.2720000000000001,1
1,18,30,0,300,stranger,1.9102566995078378,0.8913398511819368,0.2820000000000001,1
1,19,30,0,300,stranger,0.5406424770338022,0.8913398511819368,0.2990000000000001,1
1,20,30,0,300,stranger,-1.4972323610585594,0.8913398511819368,0.3110000000000001,2
1,21,30,0,300,stranger,-1.5953202907957413,0.8913398511819368,0.3120000000000001,2
1,22,30,0,300,stranger,0.8017487018396809,0.8913398511819368,0.2710000000000001,1
1,23,30,0,300,stranger,-0.5623482434367073,0.8913398511819368,0.25000000000000006,1
