Design,P,T,W,RT_diff_model,RT_diff_emp,RT_error,ACC_diff_model,ACC_diff_emp,ACC_error,v_self,v_stranger,a
D1,0,30,300,0.17192299999999883,0.005,0.16692299999999882,0.3390000000000001,0.007,0.3320000000000001,1.6441547391123092,0.24095371176645908,0.992
D2,0,30,600,0.17192299999999883,-0.014,0.18592299999999884,0.3390000000000001,0.289,0.0500000000000001,1.6441547391123092,0.24095371176645908,0.992
D3a,120,30,600,0.12292299999999867,-0.044,0.16692299999999866,0.19799999999999995,0.212,0.01400000000000004,1.1338998200774546,0.49608117128388635,1.0
D3b,120,30,800,0.12292299999999867,0.045,0.07792299999999867,0.19799999999999995,0.479,0.281,1.1338998200774546,0.49608117128388635,1.0
D4a,120,80,600,0.18054299999999884,0.203,0.02245700000000117,0.138,0.426,0.288,2.2750384084000124,0.9953293036750054,1.05
D5,8,100,1100,0.32750099999999743,0.349,0.021499000000002544,0.255,0.419,0.16399999999999998,3.715058419823917,0.5951942186689726,1.0620106666666669
D6,120,500,1500,0.2949299999999972,0.306,0.0110700000000028,0.038000000000000034,0.088,0.04999999999999996,3.199995612936938,1.3999980806599102,1.47
