Design,groupID,P,T,W,a_mean,v_self_mean,v_stranger_mean,v_diff_mean,n
D1,1,0,30,300,0.565509909090909,1.8420186363636362,1.8573035454545455,-0.015284909090909071,11
D2,2,0,30,600,0.9419983000000001,0.6776687,0.21459,0.46307869999999995,10
D3a,3,120,30,600,0.9204414,0.5950191,-0.0551764,0.6501954999999999,10
D4a,4,120,80,600,1.479014,1.6877642000000002,0.6616456000000001,1.0261186,10
D3b,8,120,30,800,1.363244,1.2340624166666667,0.2922970833333333,0.9417653333333332,12
D4b,9,120,80,800,1.797683272727273,1.7935704545454547,1.1373663636363636,0.6562040909090909,11
D5,5,8,100,1100,1.823400727272727,1.6736107272727272,0.7313136363636363,0.942297090909091,11
D6,6,120,500,1500,3.598159111111111,2.5445965555555556,2.0680793333333334,0.47651722222222226,9
