Design,P,T,W,Model_weight,RT_diff_model,RT_diff_emp,RT_error,ACC_diff_model,ACC_diff_emp,ACC_error
D1,0,30,300,0.20860852732604496,0.05089899999999925,0.005,0.04589899999999925,0.14300000000000002,0.007,0.136
D2,0,30,600,0.20860852732604496,0.05089899999999925,-0.014,0.06489899999999925,0.14300000000000002,0.289,0.14599999999999996
D3a,120,30,600,0.20860852732604496,0.05570999999999948,-0.044,0.09970999999999948,0.08499999999999996,0.212,0.12700000000000003
D3b,120,30,800,0.20860852732604496,0.05570999999999948,0.045,0.010709999999999484,0.08499999999999996,0.479,0.394
D4a,120,80,600,0.5825702064623147,0.15550299999999834,0.203,0.04749700000000168,0.137,0.426,0.289
D5,8,100,1100,0.7310585786300049,0.30281699999999645,0.349,0.04618300000000353,0.28500000000000003,0.419,0.13399999999999995
D6,120,500,1500,0.9999994041839921,0.2949299999999972,0.306,0.0110700000000028,0.038000000000000034,0.088,0.04999999999999996
