Design,P,T,W,alpha1_at_PT,alpha2_at_PT,d_RT_model,d_RT_emp,d_RT_diff,d_ACC_model,d_ACC_emp,d_ACC_diff
D1,0,30,300,0.23481136147256043,-0.20525919889187502,-0.25466265635312746,0.005,-0.25966265635312746,0.0,0.007,-0.007
D2,0,30,600,0.23481136147256043,-0.20525919889187502,-0.0032206859698378134,-0.014,0.010779314030162187,0.02017219867010427,0.289,-0.2688278013298957
D3a,120,30,600,0.23481136147256043,-0.23092846228551622,0.19178687535051817,-0.044,0.23578687535051818,0.5278870442575003,0.212,0.31588704425750036
D3b,120,30,800,0.23481136147256043,-0.23092846228551622,0.01838245112539973,0.045,-0.02661754887460027,0.18096165192201152,0.479,-0.29803834807798846
D4a,120,80,600,0.2940596019920266,-0.2387324158970353,0.18873575190390326,0.203,-0.014264248096096749,0.5114896104728047,0.426,0.08548961047280473
D5,8,100,1100,0.3,-0.20925900866003933,0.031488745646563544,0.349,-0.3175112543534364,0.04143353952325212,0.419,-0.37756646047674786
D6,120,500,1500,0.00010063878837075355,-0.20001325575964923,0.33672947821115795,0.306,0.030729478211157957,0.22546395551021656,0.088,0.13746395551021656
