groupID,subjectID,Type,trialID,P,T_ms,W_ms,Label,Press,Correct,RT_ms,condition_label
1,1,empirical,162,0,30,300,self,1,0,264.868100006424,"P=0,T=30,W=300"
1,1,empirical,167,0,30,300,self,0,0,,"P=0,T=30,W=300"
1,1,empirical,168,0,30,300,stranger,0,0,,"P=0,T=30,W=300"
1,1,empirical,169,0,30,300,self,0,0,,"P=0,T=30,W=300"
1,1,empirical,171,0,30,300,stranger,0,0,,"P=0,T=30,W=300"
1,1,empirical,173,0,30,300,stranger,0,0,,"P=0,T=30,W=300"
1,1,empirical,174,0,30,300,self,0,0,,"P=0,T=30,W=300"
1,1,empirical,177,0,30,300,self,1,1,259.319900003902,"P=0,T=30,W=300"
1,1,empirical,178,0,30,300,stranger,0,0,,"P=0,T=30,W=300"
1,1,empirical,181,0,30,300,stranger,0,0,,"P=0,T=30,W=300"
1,1,empirical,182,0,30,300,self,0,0,,"P=0,T=30,W=300"
1,1,empirical,185,0,30,300,stranger,0,0,,"P=0,T=30,W=300"
1,1,empirical,188,0,30,300,self,0,0,,"P=0,T=30,W=300"
1,1,empirical,189,0,30,300,self,0,0,,"P=0,T=30,W=300"
1,1,empirical,192,0,30,300,stranger,0,0,,"P=0,T=30,W=300"
1,1,empirical,195,0,30,300,stranger,0,0,,"P=0,T=30,W=300"
1,1,empirical,196,0,30,300,self,0,0,,"P=0,T=30,W=300"
1,1,empirical,198,0,30,300,self,0,0,,"P=0,T=30,W=300"
1,1,empirical,200,0,30,300,stranger,0,0,,"P=0,T=30,W=300"
1,1,empirical,201,0,30,300,self,0,0,,"P=0,T=30,W=300"
1,1,empirical,202,0,30,300,stranger,0,0,,"P=0,T=30,W=300"
1,1,empirical,205,0,30,300,stranger,0,0,,"P=0,T=30,W=300"
1,1,empirical,206,0,30,300,self,0,0,,"P=0,T=30,W=300"
1,1,empirical,210,0,30,300,self,0,0,,"P=0,T=30,W=300"
1,1,empirical,211,0,30,300,stranger,0,0,,"P=0,T=30,W=300"
1,1,empirical,213,0,30,300,stranger,0,0,,"P=0,T=30,W=300"
1,1,empirical,214,0,30,300,self,0,0,,"P=0,T=30,W=300"
1,1,empirical,218,0,30,300,stranger,0,0,,"P=0,T=30,W=300"
1,1,empirical,220,0,30,300,self,0,0,,"P=0,T=30,W=300"
1,1,empirical,221,0,30,300,self,0,0,,"P=0,T=30,W=300"
1,1,empirical,222,0,30,300,stranger,0,0,,"P=0,T=30,W=300"
1,1,empirical,226,0,30,300,self,0,0,,"P=0,T=30,W=300"
1,1,empirical,227,0,30,300,stranger,0,0,,"P=0,T=30,W=300"
1,1,empirical,230,0,30,300,stranger,0,0,,"P=0,T=30,W=300"
1,1,empirical,232,0,30,300,self,0,0,,"P=0,T=30,W=300"
1,1,empirical,234,0,30,300,stranger,0,0,,"P=0,T=30,W=300"
1,1,empirical,235,0,30,300,self,0,0,,"P=0,T=30,W=300"
1,1,empirical,238,0,30,300,stranger,0,0,,"P=0,T=30,W=300"
1,1,empirical,239,0,30,300,self,0,0,,"P=0,T=30,W=300"
1,1,empirical,242,0,30,300,stranger,0,0,,"P=0,T=30,W=300"
1,1,empirical,243,0,30,300,self,0,0,,"P=0,T=30,W=300"
1,1,empirical,245,0,30,300,self,0,0,,"P=0,T=30,W=300"
1,1,empirical,247,0,30,300,stranger,0,0,,"P=0,T=30,W=300"
1,1,empirical,251,0,30,300,self,0,0,,"P=0,T=30,W=300"
1,1,empirical,252,0,30,300,stranger,0,0,,"P=0,T=30,W=300"
1,1,empirical,253,0,30,300,self,0,0,,"P=0,T=30,W=300"
1,1,empirical,254,0,30,300,stranger,0,0,,"P=0,T=30,W=300"
1,1,empirical,258,0,30,300,stranger,0,0,,"P=0,T=30,W=300"
1,1,empirical,259,0,30,300,self,0,0,,"P=0,T=30,W=300"
1,1,empirical,262,0,30,300,stranger,1,1,265.733899999759,"P=0,T=30,W=300"
1,1,empirical,263,0,30,300,self,0,0,,"P=0,T=30,W=300"
1,1,empirical,266,0,30,300,self,0,0,,"P=0,T=30,W=300"
1,1,empirical,267,0,30,300,stranger,0,0,,"P=0,T=30,W=300"
1,1,empirical,269,0,30,300,stranger,0,0,,"P=0,T=30,W=300"
1,1,empirical,271,0,30,300,self,0,0,,"P=0,T=30,W=300"
1,1,empirical,273,0,30,300,stranger,0,0,,"P=0,T=30,W=300"
1,1,empirical,276,0,30,300,self,0,0,,"P=0,T=30,W=300"
1,1,empirical,279,0,30,300,stranger,0,0,,"P=0,T=30,W=300"
1,1,empirical,280,0,30,300,self,0,0,,"P=0,T=30,W=300"
1,1,empirical,282,0,30,300,self,0,0,,"P=0,T=30,W=300"
1,1,empirical,283,0,30,300,stranger,0,0,,"P=0,T=30,W=300"
1,1,empirical,285,0,30,300,self,0,0,,"P=0,T=30,W=300"
1,1,empirical,286,0,30,300,stranger,0,0,,"P=0,T=30,W=300"
1,1,empirical,289,0,30,300,self,0,0,,"P=0,T=30,W=300"
1,1,empirical,290,0,30,300,stranger,0,0,,"P=0,T=30,W=300"
1,1,empirical,293,0,30,300,stranger,0,0,,"P=0,T=30,W=300"
1,1,empirical,294,0,30,300,self,0,0,,"P=0,T=30,W=300"
1,1,empirical,297,0,30,300,stranger,1,0,249.727400005213,"P=0,T=30,W=300"
1,1,empirical,298,0,30,300,self,1,0,235.975399999006,"P=0,T=30,W=300"
1,1,empirical,301,0,30,300,self,1,1,329.283999999461,"P=0,T=30,W=300"
1,1,empirical,303,0,30,300,stranger,1,1,234.1826999982,"P=0,T=30,W=300"
1,1,empirical,305,0,30,300,stranger,1,0,234.717500003171,"P=0,T=30,W=300"
1,1,empirical,307,0,30,300,self,1,1,234.168100003444,"P=0,T=30,W=300"
1,1,empirical,309,0,30,300,stranger,1,1,234.194799995748,"P=0,T=30,W=300"
1,1,empirical,312,0,30,300,self,0,0,,"P=0,T=30,W=300"
1,1,empirical,313,0,30,300,stranger,0,0,,"P=0,T=30,W=300"
1,1,empirical,314,0,30,300,self,0,0,,"P=0,T=30,W=300"
1,1,empirical,319,0,30,300,self,0,0,,"P=0,T=30,W=300"
1,1,empirical,320,0,30,300,stranger,0,0,,"P=0,T=30,W=300"
1,1,empirical,322,0,30,300,stranger,0,0,,"P=0,T=30,W=300"
1,1,empirical,324,0,30,300,self,0,0,,"P=0,T=30,W=300"
1,1,empirical,325,0,30,300,stranger,0,0,,"P=0,T=30,W=300"
1,1,empirical,328,0,30,300,self,0,0,,"P=0,T=30,W=300"
1,1,empirical,330,0,30,300,self,0,0,,"P=0,T=30,W=300"
1,1,empirical,332,0,30,300,stranger,0,0,,"P=0,T=30,W=300"
1,1,empirical,333,0,30,300,self,0,0,,"P=0,T=30,W=300"
1,1,empirical,334,0,30,300,stranger,0,0,,"P=0,T=30,W=300"
1,1,empirical,337,0,30,300,stranger,0,0,,"P=0,T=30,W=300"
1,1,empirical,338,0,30,300,self,0,0,,"P=0,T=30,W=300"
1,1,empirical,341,0,30,300,self,0,0,,"P=0,T=30,W=300"
1,1,empirical,342,0,30,300,stranger,0,0,,"P=0,T=30,W=300"
1,1,empirical,347,0,30,300,stranger,0,0,,"P=0,T=30,W=300"
1,1,empirical,348,0,30,300,self,0,0,,"P=0,T=30,W=300"
1,1,empirical,350,0,30,300,stranger,0,0,,"P=0,T=30,W=300"
1,1,empirical,351,0,30,300,self,0,0,,"P=0,T=30,W=300"
1,1,empirical,353,0,30,300,stranger,0,0,,"P=0,T=30,W=300"
1,1,empirical,354,0,30,300,self,0,0,,"P=0,T=30,W=300"
1,1,empirical,359,0,30,300,stranger,0,0,,"P=0,T=30,W=300"
1,1,empirical,360,0,30,300,self,0,0,,"P=0,T=30,W=300"
1,1,empirical,362,0,30,300,stranger,0,0,,"P=0,T=30,W=300"
1,1,empirical,363,0,30,300,self,1,0,234.222099999897,"P=0,T=30,W=300"
1,1,empirical,366,0,30,300,self,0,0,,"P=0,T=30,W=300"
1,1,empirical,367,0,30,300,stranger,1,1,234.431400000176,"P=0,T=30,W=300"
1,1,empirical,371,0,30,300,self,0,0,,"P=0,T=30,W=300"
1,1,empirical,372,0,30,300,stranger,0,0,,"P=0,T=30,W=300"
1,1,empirical,373,0,30,300,self,1,1,281.265199999325,"P=0,T=30,W=300"
1,1,empirical,375,0,30,300,stranger,0,0,,"P=0,T=30,W=300"
1,1,empirical,379,0,30,300,self,0,0,,"P=0,T=30,W=300"
1,1,empirical,380,0,30,300,stranger,0,0,,"P=0,T=30,W=300"
1,1,empirical,382,0,30,300,self,1,1,248.402299999725,"P=0,T=30,W=300"
1,1,empirical,383,0,30,300,stranger,1,0,234.245700004976,"P=0,T=30,W=300"
1,1,empirical,386,0,30,300,self,0,0,,"P=0,T=30,W=300"
1,1,empirical,387,0,30,300,stranger,0,0,,"P=0,T=30,W=300"
