groupID,subjectID,Type,condition_label,mean_RT_self,mean_RT_stranger,sd_RT_self,sd_RT_stranger,mean_ACC_self,mean_ACC_stranger,sd_ACC_self,sd_ACC_stranger,n_self,n_stranger,cohen_d_RT,cohen_d_ACC
1,1,empirical,"P=0,T=30,W=300",260.503700000118,247.348695238456,32.5312915241742,23.6782287095815,0.146153846153846,0.0846153846153846,0.354626967707481,0.279385132880504,130,130,-0.462370554592402,0.192771192796542
1,1,simulated,"P=0,T=30,W=300",277.753846153846,279.992307692308,25.8568094995405,28.6130279195736,0.676923076923077,0.592307692307692,0.469460924815308,0.49330641838617,130,130,0.0820858445439616,0.175721463851832
1,2,empirical,"P=0,T=30,W=300",272.660907843708,272.025239474284,33.961074963925,32.2421208554273,0.176923076923077,0.146153846153846,0.383079820762894,0.354626967707481,130,130,-0.0191970854265252,0.0833566146012309
1,2,simulated,"P=0,T=30,W=300",267.592307692308,269.561538461539,31.5827192848237,31.2042542930749,0.653846153846154,0.615384615384615,0.477583361959723,0.488386290505504,130,130,0.0627262275293465,0.0796280367207306
1,3,empirical,"P=0,T=30,W=300",268.350152174484,274.72596087002,31.7984977915007,35.9950398688561,0.130769230769231,0.130769230769231,0.338452051691192,0.338452051691192,130,130,0.187735539177273,0
1,3,simulated,"P=0,T=30,W=300",203.976923076923,203.992307692308,3.07141202942589,3.16594317442075,0.592307692307692,0.546153846153846,0.493306418386169,0.499791250400946,130,130,0.00493249087550934,0.0929472772803355
1,4,empirical,"P=0,T=30,W=300",255.121315516339,251.747685713261,27.9764781511183,26.9785819370302,0.346153846153846,0.284615384615385,0.477583361959723,0.452976638934497,130,130,-0.122757531177235,0.132214920152163
1,4,simulated,"P=0,T=30,W=300",208.276923076923,208.376923076923,5.78157375723221,6.72639759214994,0.492307692307692,0.523076923076923,0.501874839181977,0.501399353675719,130,130,0.015944378969457,-0.0613376234187814
1,5,empirical,"P=0,T=30,W=300",263.946539468107,258.41965161324,32.8279451689026,30.4497311432352,0.253846153846154,0.238461538461538,0.436894226667245,0.427791265369335,130,130,-0.174563569066319,0.0355823315528071
1,5,simulated,"P=0,T=30,W=300",276.430769230769,277.207692307692,28.9832719627592,26.4322143581196,0.676923076923077,0.492307692307692,0.469460924815308,0.501874839181977,130,130,0.0280102619324715,0.379915338379045
1,6,empirical,"P=0,T=30,W=300",264.915541682664,257.082469566502,35.4521930321788,29.8620715263215,0.0692307692307692,0.138461538461538,0.25482815423968,0.346719871152315,130,130,-0.238984208644771,-0.227535876843271
1,6,simulated,"P=0,T=30,W=300",244.492307692308,242.284615384615,31.0026870938049,27.5678822830455,0.561538461538462,0.469230769230769,0.498118104264505,0.500982933662524,130,130,-0.0752564249879606,0.184780736538021
1,7,empirical,"P=0,T=30,W=300",239.079338096503,242.030980005317,15.6880720985301,21.4752445846367,0.0846153846153846,0.138461538461538,0.279385132880504,0.346719871152315,130,130,0.156955415093232,-0.171017436429018
1,7,simulated,"P=0,T=30,W=300",215.284615384615,216.107692307692,11.7626623939953,12.9586379283803,0.561538461538462,0.5,0.498118104264505,0.50193424319937,130,130,0.066510693922799,0.123069584620423
1,8,empirical,"P=0,T=30,W=300",259.75573200034,260.161999998672,29.769487993222,32.5889892637733,0.161538461538462,0.184615384615385,0.369450590497999,0.389486152934055,130,130,0.0130167822059288,-0.0607926442523019
1,8,simulated,"P=0,T=30,W=300",258.176923076923,261.292307692308,29.9072119026914,31.7198116639683,0.576923076923077,0.569230769230769,0.495958622545552,0.497099518033222,130,130,0.101060793278924,0.0154921495558665
1,9,empirical,"P=0,T=30,W=300",255.326346518623,263.959090000717,26.1178813754756,31.2661882585884,0.253846153846154,0.307692307692308,0.436894226667245,0.463323916799418,130,130,0.299672332779535,-0.119577599124353
1,10,empirical,"P=0,T=30,W=300",254.807953186521,262.822600003512,26.1611428929094,32.633421325175,0.176923076923077,0.176923076923077,0.383079820762893,0.383079820762893,130,130,0.270995188569498,0
1,11,empirical,"P=0,T=30,W=300",255.227245449681,259.036236741979,28.6572483523063,29.9810388768236,0.246153846153846,0.184615384615385,0.432435655679457,0.389486152934055,130,130,0.129881727726193,0.149538836054799
2,1,empirical,"P=0,T=30,W=600",368.490375609459,381.787488000215,122.517023674262,128.29003065678,0.276923076923077,0.276923076923077,0.449209203785555,0.449209203785555,130,130,0.10600651817463,0
2,1,simulated,"P=0,T=30,W=600",517.692307692308,527.315384615385,71.0906012337817,70.1564182188116,0.869230769230769,0.592307692307692,0.338452051691192,0.493306418386169,130,130,0.136255851595406,0.654625143409668
2,2,empirical,"P=0,T=30,W=600",456.425923529691,422.424044444698,150.211960402179,141.08744015264,0.0923076923076923,0.0461538461538462,0.290579582453446,0.210629858728988,130,130,-0.233335259890258,0.18187062180826
2,2,simulated,"P=0,T=30,W=600",502.807692307693,512.253846153846,84.2158629254412,72.8803108786907,0.884615384615385,0.507692307692308,0.320721458628893,0.501874839181977,130,130,0.119947648152774,0.894977819898832
2,3,empirical,"P=0,T=30,W=600",528.769977108845,541.322210449169,62.0013857892566,72.7237465142442,0.607692307692308,0.0846153846153846,0.490153493537679,0.279385132880504,130,130,0.185751055602525,1.31116637992483
