groupID,mean_a,ci_lower,ci_upper,condition_label
1,0.565509909090909,0.537888104776966,0.594998328840778,"P=0,T=30,W=300"
2,0.9419983,0.845789829212728,1.04085650785976,"P=0,T=30,W=600"
3,0.9204414,0.823416377509576,1.01449480322125,"P=120,T=30,W=600"
4,1.479014,1.3302594166205,1.63562147320149,"P=120,T=80,W=600"
5,1.82340072727273,1.68118965786856,1.9674781349206,"P=8,T=100,W=1100"
6,3.59815911111111,3.02951398029638,4.25372256070541,"P=120,T=500,W=1500"
7,1.363244,1.21006816415945,1.50589505870999,"P=120,T=30,W=800"
8,1.79768327272727,1.57379753939085,1.99491587611164,"P=120,T=80,W=800"
