groupID,mean_v_diff,ci_lower,ci_upper,Condition
1,-0.015284909090909,-0.443564350582406,0.413804615868469,"P=0,T=30,W=300"
2,0.4630787,0.149898858854685,0.741842660072321,"P=0,T=30,W=600"
3,0.6501955,0.302941669649813,0.99098841197713,"P=120,T=30,W=600"
4,1.0261186,0.711089773497088,1.32225526273071,"P=120,T=80,W=600"
5,0.942297090909091,0.726967776930484,1.15187629301482,"P=8,T=100,W=1100"
6,0.476517222222222,0.303009676371128,0.642656339031201,"P=120,T=500,W=1500"
7,0.941765333333333,0.557871166778698,1.28405062350748,"P=120,T=30,W=800"
8,0.656204090909091,0.436675541590005,0.87272288426111,"P=120,T=80,W=800"
