groupID,Type,Condition,mean_RT_self,mean_RT_stranger,sd_RT_self,sd_RT_stranger,mean_ACC_self,mean_ACC_stranger,sd_ACC_self,sd_ACC_stranger,n_self,n_stranger,cohen_d_RT,cohen_d_ACC
1,empirical,"P=0,T=30,W=300",259.053789446753,259.216654200237,30.0561276440254,30.8506656655139,0.186013986013986,0.183216783216783,0.389254081779678,0.386979477522047,1430,1430,0.00534754461958705,0.00720708543034355
1,simulated,"P=0,T=30,W=300",243.998076923077,244.851923076923,37.3666895268011,37.8356610045529,0.599038461538462,0.538461538461538,0.490329031032511,0.498758360604508,1040,1040,0.0227075229846292,0.122486089408176
2,empirical,"P=0,T=30,W=600",422.451839845208,420.558655052323,131.804748362437,138.356638757112,0.357051282051282,0.226923076923077,0.479283753016928,0.41897675436553,1560,1560,-0.0140110940502284,0.289082996892839
2,simulated,"P=0,T=30,W=600",482.717307692308,492.220192307693,90.5102150391366,89.3799654574757,0.820192307692308,0.583653846153846,0.384211956184012,0.493189532239774,1040,1040,0.105649980743642,0.535068116314931
3,empirical,"P=120,T=30,W=600",387.929567378381,382.022962530613,133.76637962639,132.703452209844,0.401538461538462,0.300769230769231,0.490398121933691,0.458769004862303,1300,1300,-0.0443319066639192,0.212214111091115
3,simulated,"P=120,T=30,W=600",491.377884615385,510.350961538462,85.0412598232498,80.4599679814922,0.988461538461539,0.764423076923077,0.106847099435975,0.424563019245701,1040,1040,0.229192402247924,0.723703112084819
4,empirical,"P=120,T=80,W=600",503.44071452571,508.504295101403,110.228920897096,112.504919949943,0.597902097902098,0.365034965034965,0.490493037034965,0.481608388407318,1430,1430,0.0454651723767631,0.479080477310505
4,simulated,"P=120,T=80,W=600",501.297115384616,542.098076923077,93.662507155873,88.8626455544259,0.997115384615385,0.819230769230769,0.0536568980488565,0.385012011381429,1040,1040,0.446917706077252,0.647145633745904
5,empirical,"P=8,T=100,W=1100",651.796184645673,719.863463571531,190.028533945119,200.187235575733,0.810489510489511,0.625874125874126,0.392050696996139,0.484065661114877,1430,1430,0.34875179224246,0.419135047408422
5,simulated,"P=8,T=100,W=1100",785.911538461539,876.658653846154,206.518628805803,196.449142194185,0.994230769230769,0.771153846153846,0.0757724711704767,0.420292092601768,1040,1040,0.450253361179887,0.738708013126201
6,empirical,"P=120,T=500,W=1500",861.845994719078,934.163976010514,221.192794844363,250.946833206389,0.886923076923077,0.857692307692308,0.316808678064645,0.349499892261202,1300,1300,0.305734994918543,0.0876340237487059
6,simulated,"P=120,T=500,W=1500",456.035576923077,1032.43076923076,83.2978565182386,396.857942082316,1,0.969230769230769,0,0.172774964253356,1040,1040,2.01019660121931,0.251855143745391
7,simulated,"P=120,T=30,W=800",614.510576923077,663.39326923077,122.123976057364,110.712175945919,0.996153846153846,0.773076923076923,0.0619277683545416,0.41904395730996,1040,1040,0.419385775626197,0.744763906805313
8,empirical,"P=120,T=80,W=800",412.726513225554,426.268746919798,131.858711998868,128.198611434383,0.7,0.438461538461539,0.460030332670297,0.498118104264505,130,130,0.104137752934957,0.545493908042486
8,simulated,"P=120,T=80,W=800",626.765384615385,703.634615384616,129.095821914017,119.164807519466,1,0.889423076923077,0,0.313758386604609,1040,1040,0.618767478160002,0.498407025842904
9,empirical,,582.094548525804,613.035385253429,126.806651302239,140.650345998175,0.786713286713287,0.625874125874126,0.409700111661333,0.48398099724695,2860,2860,0.231061237167089,0.358710587341868
