subjID,groupID,subjectID,d_mean,d_lower,d_upper
1_1,1,1,-0.456042765019347,-1.04899023707357,0.118834660367362
1_10,1,10,0.27199421732322,-0.128042928066623,0.687871939219975
1_11,1,11,0.130054463207083,-0.252764301645864,0.54231058951866
1_2,1,2,-0.0191230848325195,-0.438859276759334,0.409764379281492
1_3,1,3,0.187735539177273,-0.387792127715934,0.822197492834661
1_4,1,4,-0.122717758618777,-0.503367560627991,0.236531003533522
1_5,1,5,-0.173883083387379,-0.66701878635654,0.307170208460166
1_6,1,6,-0.246054518932097,-1.05941685977114,0.493756179678963
1_7,1,7,0.152747885508313,-0.421167301765354,0.608495803462276
1_8,1,8,0.0129823694323471,-0.565217989462796,0.554370923116798
1_9,1,9,0.297641554247,-0.111097564373564,0.711001998746249
2_1,2,1,0.10611682659851,-0.200762984411487,0.418826062093001
2_10,2,10,0.0672763649608011,-0.278143293820203,0.437722575465307
2_11,2,11,-0.272883731988958,-0.837830005060624,0.239233428195431
2_12,2,12,-0.496916457917756,-0.857011227417594,-0.161507106854518
2_2,2,2,-0.233556839224615,-0.951760683603953,0.4452306395168
2_3,2,3,0.187359859189788,-0.149745478313429,0.546884291657371
2_4,2,4,-0.0611377360653646,-0.646472649563513,0.484592078779354
2_5,2,5,-0.144338797427852,-0.424642443367981,0.129931018779736
2_6,2,6,0.625223135721036,0.293845926241527,0.980472398926126
2_7,2,7,-0.142719644074643,-0.444254873240408,0.155377447289208
2_8,2,8,0.500320705710875,0.00562654471455303,1.01145026194052
2_9,2,9,0.405549241692918,0.142179716023935,0.678988106898078
3_1,3,1,0.115419436070545,-0.197668971940825,0.434600885948151
3_10,3,10,0.0460708283038024,-0.25452968649509,0.354974982618099
3_12,3,12,-0.0296119904509155,-0.313608615309385,0.247699298230988
3_2,3,2,0.0403297012562115,-0.253485519599692,0.337775656739244
3_3,3,3,0.0971688930420435,-0.168026411984109,0.357931451013236
3_4,3,4,-0.200779406085011,-0.556575689594454,0.131104948360619
3_5,3,5,-0.119413669714931,-0.368165350087626,0.121267709093887
3_6,3,6,-0.0768800297113061,-0.613650195255815,0.410356956573259
3_7,3,7,-0.327542532957322,-0.756081682973588,0.0923389557379817
3_8,3,8,0.100121162921699,-0.19325713414791,0.400270601845104
4_1,4,1,0.0296644336856498,-0.248758734587788,0.309811058083547
4_10,4,10,0.0506704660558382,-0.275403959194153,0.374997029780902
4_12,4,12,-0.0549387438683872,-0.438090055199618,0.303589720286788
4_14,4,14,-0.14449947857247,-0.442764819474284,0.155851053022483
4_2,4,2,0.142555530368363,-0.121052675447258,0.41841446468434
4_3,4,3,0.00436736130574054,-0.317239269993224,0.320983804478145
4_5,4,5,0.613020383608976,0.366174647056281,0.866464956026607
4_6,4,6,-0.427227457785353,-1.030058058596,0.12340538611909
4_7,4,7,0.667609916560609,0.353626318655793,1.00544562937697
4_8,4,8,0.417175372667823,0.106999912716946,0.731704619078359
4_9,4,9,0.011286023639712,-0.286865745200158,0.307879514488392
5_1,5,1,0.58470546630785,0.317666698758121,0.865741557480071
5_10,5,10,0.204047835766598,-0.0506241792988092,0.465505498925301
5_11,5,11,0.0608184227987597,-0.20158120373496,0.323936192438719
5_12,5,12,0.975857863438009,0.683512925036205,1.3145479472696
5_2,5,2,-0.16942965073269,-0.423864698746831,0.105912481270611
5_3,5,3,0.678613638669478,0.421051252290642,0.964878984404518
5_4,5,4,0.2019192212269,-0.0640605480764739,0.473460057808835
5_5,5,5,0.368013897989239,0.12120668929838,0.622410343111691
5_6,5,6,0.237888821904622,-0.00129275106471232,0.49631797917703
5_7,5,7,0.880985530995807,0.609649525446786,1.18353454077403
5_8,5,8,0.823139034371756,0.550590494894531,1.12663556770919
6_1,6,1,0.215096397524873,-0.0376685091248504,0.480121938727635
6_10,6,10,0.453213630595684,0.178562708343603,0.745910422121647
6_12,6,12,0.922080256858491,0.682320400493502,1.18261775180044
6_13,6,13,-0.215786541753413,-0.444309426433838,0.0216562902675773
6_15,6,15,0.306316737724997,0.0302996815044324,0.679324624204973
6_16,6,16,0.170017063781923,-0.107723945403328,0.463373918534819
6_3,6,3,0.438364184472291,0.190190179865213,0.701093980631079
6_4,6,4,0.767551392927015,0.518397896799538,1.0542659878838
6_5,6,5,0.202971709614351,-0.0490335752868463,0.475101521027829
6_9,6,9,-0.250013147408359,-0.486650674418089,-0.00557543714803333
8_9,8,9,0.104087259820017,-0.147967654607315,0.368071273569679
9_1,9,1,0.342462946410026,0.152379820041228,0.531638292324338
9_10,9,10,0.175984307447499,-0.000494153123402618,0.350048324563209
9_11,9,11,0.0652205527058888,-0.177601897618656,0.31894428007729
9_12,9,12,0.235869665622624,0.0631975691124416,0.409510520896177
9_2,9,2,0.124975194467457,-0.0552546954894283,0.30015468709618
9_3,9,3,0.765463846863547,0.548537232175511,0.995193044741357
9_4,9,4,0.83476578559204,0.643444577455125,1.04666566065813
9_5,9,5,0.171990045506671,0.0028605655367847,0.35391329407021
9_6,9,6,0.679368420689854,0.455674483205058,0.910589119697567
9_7,9,7,0.566039648566999,0.389334153996541,0.755816143089562
9_8,9,8,-0.102381710017252,-0.285937695980479,0.0813035034608836
