subjID,groupID,subjectID,d_mean,d_lower,d_upper
1_1,1,1,0.500515915420555,-0.0864286881039471,1.22601206766578
1_10,1,10,-0.0660344744138204,-0.503248636588804,0.344435178677532
1_11,1,11,0.183588941549405,-0.215466789270943,0.600160588921757
1_2,1,2,-0.0971994405403999,-0.530302057537156,0.323434364700866
1_3,1,3,-0.000000000000000247277956089261,-0.618207215582653,0.603697629215301
1_4,1,4,0.256111162761343,-0.109620493051909,0.632815295487064
1_5,1,5,-0.516860847391431,-0.778675055224552,-0.268408291139987
1_6,1,6,-0.0754558266838176,-0.892515911940286,0.645633104218765
1_7,1,7,-0.151224371771425,-0.71958389310746,0.423090111319541
1_8,1,8,-0.0469871493899365,-0.600620565936438,0.510156227020362
1_9,1,9,-0.0784484840766416,-0.498083583255206,0.338356169086729
2_1,2,1,-0.081777169816605,-0.395218539926709,0.222429942492248
2_10,2,10,0.40007366873976,0.0508002032895863,0.7877053074632
2_11,2,11,0.336659091214758,-0.1894314079623,0.903244604661891
2_12,2,12,-0.272852117490933,-0.620125440035866,0.0658921378469472
2_2,2,2,0.779937623197157,0.114593774538418,1.80267453946329
2_3,2,3,2.65741493837764,1.94778680274477,3.93649449263832
2_4,2,4,0.527156066567121,-0.0516159067234244,1.21462002674929
2_5,2,5,0.129892563398527,-0.142471818473259,0.408727318705106
2_6,2,6,1.25644017952495,0.701412924542805,2.07777304809419
2_7,2,7,0.173673110090182,-0.119047693747413,0.479271278108759
2_8,2,8,0.592419571967992,0.0569212047739597,1.23214478676019
2_9,2,9,0.533690031476429,0.267092746708246,0.829928194803026
3_1,3,1,0.513634921547166,0.195684823934751,0.86045119980051
3_10,3,10,0.31185016908131,0.00799178098677305,0.621950616927017
3_12,3,12,0.486063161533828,0.202581040667046,0.800165422310986
3_2,3,2,0.329472964884154,0.0328888667851429,0.644959507540859
3_3,3,3,-0.26961959463675,-0.546593484632878,-0.00519274605174265
3_4,3,4,0.444679546713796,0.110768407821729,0.801178400074212
3_5,3,5,0.0474896594182305,-0.20477837488381,0.288441448670137
3_6,3,6,0.3899019518078,-0.100685039963393,0.968736050529268
3_7,3,7,1.4030507401716,0.880921561735514,2.16539831915344
3_8,3,8,0.196370915879284,-0.0945036758444554,0.500833465126521
4_1,4,1,0.0116820981748759,-0.274497872652781,0.29870440480008
4_10,4,10,0.390218118086862,0.0548012101324848,0.708516900900183
4_12,4,12,0.991883479787685,0.594069049550445,1.51973205883663
4_14,4,14,-0.015936381457792,-0.31256289372426,0.275893029288858
4_2,4,2,0.903740896759884,0.60137649305019,1.25899301871203
4_3,4,3,1.60118431960449,1.16810053033781,2.2207717542742
4_5,4,5,0.38178372070675,0.1447857352291,0.598925034642161
4_6,4,6,1.45628814398537,0.848877509118844,2.43432247780074
4_7,4,7,0.888634493015139,0.577127209696718,1.25937991299519
4_8,4,8,0.752414380048311,0.391497746317068,1.13977808124022
4_9,4,9,0.11898091532844,-0.178104186621436,0.41446700559168
5_1,5,1,0.490941288504083,0.235058310004269,0.756272283958364
5_10,5,10,0.345555082349252,0.103784795607803,0.602899710120677
5_11,5,11,0.729378130720859,0.448687465076131,1.0508703738508
5_12,5,12,0.826116266094781,0.603813888819973,1.05537620673352
5_2,5,2,0.0913820168334993,-0.165330513454602,0.360137568379168
5_3,5,3,0.566993973177968,0.342867464441589,0.784457829445439
5_4,5,4,0.545357393575373,0.275673420061045,0.855537149664765
5_5,5,5,0.260805400597186,0.00578588882506271,0.51575252789826
5_6,5,6,0.18834192982811,-0.058180741068334,0.426532533599365
5_7,5,7,0.517806922081096,0.326717524685681,0.69114346710828
5_8,5,8,0.96503081588871,0.717564864016762,1.24678740361193
6_1,6,1,0.205206577969224,-0.0263257314572736,0.378099186209938
6_10,6,10,0.375238643558127,0.138093304099093,0.58780222154418
6_12,6,12,0.368693248848756,0.136962762346592,0.574471543716723
6_13,6,13,,,
6_15,6,15,0.485806227746161,0.255189800201156,0.713825441007847
6_16,6,16,0.0330315706732476,-0.241737301107564,0.296995422848932
6_3,6,3,0.169756931981322,-0.0789137389359949,0.348335079846741
6_4,6,4,0.381129949878035,0.157783792292282,0.565092692529504
6_5,6,5,0.323713433506595,0.0633872219344444,0.584125989072565
6_9,6,9,-0.0402978244788302,-0.288708466322766,0.206160747321397
8_9,8,9,0.529167926609926,0.258845073076055,0.815502722579279
9_1,9,1,0.168856553990194,-0.0226977305290583,0.354829516421088
9_10,9,10,0.215028293610848,0.037481503998475,0.389916030126775
9_11,9,11,0.680540344719188,0.427558143032806,0.953213486718066
9_12,9,12,0.215448450365093,0.0434671229802419,0.391495228231378
9_2,9,2,0.540355457232428,0.358896391252967,0.740846236461458
9_3,9,3,0.631717758341611,0.441572514235569,0.815778179782076
9_4,9,4,0.326836724630729,0.150884381097694,0.510097315463706
9_5,9,5,0.252310001122706,0.0773781309098749,0.414944050616765
9_6,9,6,0.672777697976505,0.500067756684932,0.844042626475348
9_7,9,7,0.0752144294397023,-0.0968217936007936,0.245340833575409
9_8,9,8,-0.0207264501293198,-0.206481978522142,0.168536595293783
